"Power System","Region","Timestamp","UTC Offset","Metered Load Power (kW)","Load Power (kW)","Solar Power (kW)","Battery Power (kW)","Min Cell Voltage (mV)","Max Cell Voltage (mV)","Mean Cell Voltage (mV)","Battery SOC (%)","Battery Voltage (V)","Ambient Temperature (C)","Battery Temperature (C)","Battery Current (A)","Connectivity[solsense]"
"Nimlajacoc","Guatemala","2021-10-17 14:26:00","-06:00",,,,,,,,,,,,-1.1,1
"Nimlajacoc","Guatemala","2021-10-17 14:27:00","-06:00",,,,,,,,,,54.25,,,1
"Nimlajacoc","Guatemala","2021-10-17 14:28:00","-06:00",,,,,,,,,,,,-1,1
"Nimlajacoc","Guatemala","2021-10-17 14:29:00","-06:00",0,,0.0911,-0.05852000000000001,,,,97,53.2,,35.6,-1.1,1
"Nimlajacoc","Guatemala","2021-10-17 14:30:00","-06:00",,,,,,,,,,,,-1,1
"Nimlajacoc","Guatemala","2021-10-17 14:31:00","-06:00",,,,,,,,,,,,-1.1,1
"Nimlajacoc","Guatemala","2021-10-17 14:32:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 14:33:00","-06:00",,,,,,,,,,54.625,,-1,1
"Nimlajacoc","Guatemala","2021-10-17 14:34:00","-06:00",,,,,,,,,,,,-1.1,1
"Nimlajacoc","Guatemala","2021-10-17 14:35:00","-06:00",0,,0.0901,-0.053200000000000004,,,,97,53.2,,35.6,-1,1
"Nimlajacoc","Guatemala","2021-10-17 14:36:00","-06:00",,,,,,,,,,,,-1.1,1
"Nimlajacoc","Guatemala","2021-10-17 14:37:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 14:38:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 14:39:00","-06:00",,,,,,,,,,54.875,,,1
"Nimlajacoc","Guatemala","2021-10-17 14:40:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 14:41:00","-06:00",0,,0.0892,,,,,97,53.2,,35.6,,1
"Nimlajacoc","Guatemala","2021-10-17 14:42:00","-06:00",,,,,,,,,,,,-1.1,1
"Nimlajacoc","Guatemala","2021-10-17 14:43:00","-06:00",,,,,,,,,,,,-1,1
"Nimlajacoc","Guatemala","2021-10-17 14:44:00","-06:00",,,,,,,,,,,,-1.1,1
"Nimlajacoc","Guatemala","2021-10-17 14:45:00","-06:00",,,,,,,,,,55.25,,,1
"Nimlajacoc","Guatemala","2021-10-17 14:46:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 14:47:00","-06:00",0,,0.09129999999999999,-0.053200000000000004,,,,97,53.2,,35.6,-1,1
"Nimlajacoc","Guatemala","2021-10-17 14:48:00","-06:00",,,,,,,,,,,,-0.9,1
"Nimlajacoc","Guatemala","2021-10-17 14:49:00","-06:00",,,,,,,,,,,,-1,1
"Nimlajacoc","Guatemala","2021-10-17 14:50:00","-06:00",,,,,,,,,,,,-1.1,1
"Nimlajacoc","Guatemala","2021-10-17 14:51:00","-06:00",,,,,,,,,,55.0625,,,1
"Nimlajacoc","Guatemala","2021-10-17 14:52:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 14:53:00","-06:00",0,,0.092,-0.053200000000000004,,,,97,53.2,,35.6,-1,1
"Nimlajacoc","Guatemala","2021-10-17 14:54:00","-06:00",,,,,,,,,,,,-1.1,1
"Nimlajacoc","Guatemala","2021-10-17 14:55:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 14:56:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 14:57:00","-06:00",,,,,,,,,,55.1875,,,1
"Nimlajacoc","Guatemala","2021-10-17 14:58:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 14:59:00","-06:00",0,,0.09140000000000001,,,,,97,53.2,,35.6,,1
"Nimlajacoc","Guatemala","2021-10-17 15:00:00","-06:00",,,,,,,,,,,,-1,1
"Nimlajacoc","Guatemala","2021-10-17 15:01:00","-06:00",,,,,,,,,,,,-1.1,1
"Nimlajacoc","Guatemala","2021-10-17 15:02:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 15:03:00","-06:00",,,,,,,,,,55.5,,,1
"Nimlajacoc","Guatemala","2021-10-17 15:04:00","-06:00",,,,,,,,,,,,-1,1
"Nimlajacoc","Guatemala","2021-10-17 15:05:00","-06:00",0,,0.0906,-0.05852000000000001,,,,97,53.2,,35.6,-1.1,1
"Nimlajacoc","Guatemala","2021-10-17 15:06:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 15:07:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 15:08:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 15:09:00","-06:00",,,,,,,,,,56.0625,,,1
"Nimlajacoc","Guatemala","2021-10-17 15:10:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 15:11:00","-06:00",0,,0.0926,-0.05852000000000001,,,,97,53.2,,36.1,-1.1,1
"Nimlajacoc","Guatemala","2021-10-17 15:12:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 15:13:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 15:14:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 15:15:00","-06:00",,,,,,,,,,56.4375,,,1
"Nimlajacoc","Guatemala","2021-10-17 15:16:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 15:17:00","-06:00",0,,0.0912,-0.05852000000000001,,,,97,53.2,,36.1,-1.1,1
"Nimlajacoc","Guatemala","2021-10-17 15:18:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 15:19:00","-06:00",,,,,,,,,,,,-1,1
"Nimlajacoc","Guatemala","2021-10-17 15:20:00","-06:00",,,,,,,,,,,,-1.1,1
"Nimlajacoc","Guatemala","2021-10-17 15:21:00","-06:00",,,,,,,,,,56.8125,,,1
"Nimlajacoc","Guatemala","2021-10-17 15:22:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 15:23:00","-06:00",0,,0.0901,,,,,97,53.2,,36.1,,1
